Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,27.299999,27.440001,27.030001,27.070000,25.780121,2377000
2018-08-21,27.049999,27.110001,26.850000,26.930000,25.646793,2137000
2018-08-22,26.959999,27.000000,26.680000,26.740000,25.465843,1627700
2018-08-23,26.799999,26.879999,26.690001,26.709999,25.437273,2446400
2018-08-24,26.629999,26.750000,26.480000,26.719999,25.446796,1082900
2018-08-27,26.719999,26.730000,26.420000,26.719999,25.446796,1604200
2018-08-28,26.650000,27.030001,26.559999,27.030001,25.742027,3087400
2018-08-29,27.080000,27.200001,27.040001,27.059999,25.770597,1978600
2018-08-30,27.129999,27.129999,26.900000,26.930000,25.646793,1713500
2018-08-31,26.969999,27.120001,26.860001,27.030001,25.742027,2162800
2018-09-04,26.940001,27.040001,26.510000,26.540001,25.275375,1974400
2018-09-05,26.469999,26.840000,26.280001,26.639999,25.370611,2296600
2018-09-06,26.709999,27.020000,26.700001,26.980000,25.694410,2407200
2018-09-07,26.750000,26.799999,26.400000,26.450001,25.189663,1672400
2018-09-10,26.879999,27.030001,26.629999,26.629999,25.361086,2190700
2018-09-11,26.469999,26.780001,26.379999,26.660000,25.389656,1635300
2018-09-12,26.680000,26.780001,26.549999,26.629999,25.361086,1537900
2018-09-13,26.790001,26.930000,26.549999,26.820000,25.542030,1761600
2018-09-14,26.719999,26.730000,26.120001,26.299999,25.046810,1929200
2018-09-17,26.379999,26.760000,26.280001,26.740000,25.465843,2130600
2018-09-18,26.709999,26.770000,26.280001,26.280001,25.027765,1984300
2018-09-19,26.330000,26.340000,26.070000,26.120001,24.875387,2114300
2018-09-20,26.080000,26.410000,25.830000,26.350000,25.094429,2334800
2018-09-21,26.270000,26.450001,26.139999,26.389999,25.132523,4655800
2018-09-24,26.309999,26.340000,25.680000,25.700001,24.475399,2753100
2018-09-25,25.719999,26.110001,25.709999,25.900000,24.665869,2720900
2018-09-26,25.879999,25.910000,25.530001,25.559999,24.342072,2198700
2018-09-27,25.680000,25.910000,25.570000,25.650000,24.427782,1932600
2018-09-28,25.799999,26.340000,25.799999,26.320000,25.065855,3555900
2018-10-01,26.260000,26.320000,25.750000,25.790001,24.561113,2149800
2018-10-02,25.820000,25.920000,25.580000,25.620001,24.399212,1779300
2018-10-03,25.610001,25.690001,25.070000,25.379999,24.170649,3102000
2018-10-04,25.170000,25.410000,24.930000,25.320000,24.113506,2829400
2018-10-05,25.250000,25.400000,25.129999,25.200001,23.999226,2294800
